commit	val_ap	peak_memory_gb	status	description
8b6db50	0.5734	0.0	baseline	UNet BASE_CHANNELS=32 IMU_HIDDEN=128 focal_bce alpha=0.75 rate_reg=0.01 AMP per-channel
44f75f9	0.5619	0.0	discard	BASE_CHANNELS=48 LR=5e-4 (larger model + lower LR both hurt)
613a43c	0.5682	0.0	discard	BASE_CHANNELS=48 LR=1e-3 (larger model slower to converge in 15min)
9f72407	0.5718	0.0	discard	WEIGHT_DECAY=1e-4 (marginal, precision dropped)
afd2068	0.5651	0.0	discard	focal gamma=3.0 (stronger suppression, no precision improvement)
af37f9d	0.5720	0.0	discard	WARMUP=5% WARMDOWN=50% (closest so far, precision 0.497 vs 0.488)
87e7a3a	0.5757	0.0	keep	TOTAL_BATCH_SIZE=16 (2x gradient updates, +0.0023 over baseline)
4e07ef3	0.5742	0.0	discard	batch=16 + WARMUP=5% WARMDOWN=50% (didn't stack, worse than batch=16 alone)
f25d0dc	0.5776	0.0	keep	TOTAL_BATCH_SIZE=8 (4x gradient updates, +0.0019 over batch=16)
c5e423b	0.5865	0.0	keep	TOTAL_BATCH_SIZE=4 (no accum, max updates, +0.0089 over batch=8)
baf3a14	0.5842	0.0	discard	TOTAL_BATCH_SIZE=2 (too noisy, batch=4 is sweet spot)
30c443d	0.5555	0.0	discard	FNO model batch=4 (9.3M params, too slow to converge in 15min)
9371855	0.5787	0.0	discard	batch=4 LR=3e-4 (lower LR hurt, LR=1e-3 is optimal)
d775f0e	0.495300	0.0	discard	IMU_HIDDEN_DIM 192 with batch=4, LR=1e-3, warmdown=0.3
5d6a492	0.497200	0.0	discard	deeper IMU encoder: bidirectional LSTM layers 2->3 (best scheduler fixed)
7b5bf5b	0.509500	0.0	discard	smaller UNet width: BASE_CHANNELS 32->24 (best scheduler fixed)
61deeed	0.479300	0.0	discard	additive-only FiLM fusion (remove multiplicative scale)
f8a734c	0.474400	0.0	discard	scale-only FiLM fusion (remove additive bias)
5102420	0.504200	0.0	discard	focal loss alpha 0.75->0.85 (stronger positive weighting)
6f5c106	0.463500	0.0	discard	increased UNet BASE_CHANNELS 32->48 (+50% capacity)
